ID;Tipo;Dirección;Número;Ubicación;Ciudad;Precio;Habitaciones;Metros_Cuadrados;Planta;Planta_Descripcion;Exterior;Ascensor;Parking;Agencia;Enlace;Descripción
109363812;Piso;Travesía del Convento;s/n;Centro - San Lorenzo;Gijón;420000;3;142;;2ª;Exterior;No;No;Agencia Domingo;https://www.idealista.com/inmueble/109363812/;¡Oportunidad exclusiva de adquirir un magnífico piso en la hermosa ciudad de Gijón! Ubicado estratégicamente en un edificio histórico de 1934, este espacioso inmueble cuenta con todo lo necesario para convertirse en su futuro hogar confortable y elegante. Con una superficie útil de 128 metros cuadrados, este piso le o
106280149;Piso;Calle Álvarez Garaya;12;Centro - Puerto;Gijón;590000;4;164;;13ª;Exterior;Sí;No;Engel & Völkers Asturias;https://www.idealista.com/inmueble/106280149/;Engel & Völkers le presenta en exclusiva este magnífico piso en pleno centro de Gijón. Desde la amplitud de sus 164m² construidos y ubicados en la privilegiada altura de un 13º piso, gozamos de unas vistas casi 360º de esta preciosa ciudad. La luz es el mayor valor añadido de esta propiedad, puesto que dispone de much
109661924;Piso;Calle Vicaría;17;Cimadevilla;Gijón;210000;1;65;;Bajo;Exterior;No;No;Agencia La Playa;https://www.idealista.com/inmueble/109661924/;Te invitamos a descubrir este precioso apartamento tipo Loft en el corazón de Cimadevilla, Gijón, Ubicado en la Calle Vicaria nº 17, planta baja, este inmueble ofrece una oportunidad única para aquellos que buscan una vivienda con encanto y estilo. El inmueble ha sido reformado con mucho cuidado y atención al detalle,
109021767;Piso;Calle Magnus Blikstad;77;Laviada;Gijón;245000;3;80;;1ª;Exterior;Sí;No;Agencia Alvarez;https://www.idealista.com/inmueble/109021767/;LAVIADA, amplia vivienda A ESTRENAR, exterior y muy luminosa Iniciamos comercialización de vivienda completamente reformada situada en la Calle Magnus Blikstad. En una de las áreas más cotizadas de Gijón, la propiedad ofrece acceso a una amplia gama de servicios y comodidades. Desde comercios hasta centros educativos
108967567;Piso;Calle Padilla;5;Centro - Puerto;Gijón;440000;4;107;;5ª;Exterior;Sí;Sí;Agencia La Playa;https://www.idealista.com/inmueble/108967567/;Vivir en el centro de Gijón es un privilegio, y más aún cuando puedes hacerlo en una vivienda tan versátil como esta.   Situada en Calle Padilla, a un paso de los lugares más emblemáticas de la ciudad como la calle Corrida, la calle Los Moros, el Paseo de Begoña, la Plaza 6 de Agosto o la playa de San Lorenzo, esta pr
108702163;Piso;Calle Castro Romano;2;Cimadevilla;Gijón;220000;2;61;;3ª;Exterior;Sí;No;Agencia La Playa;https://www.idealista.com/inmueble/108702163/;¡Estás pensando en vivir o tener una segunda residencia en la ciudad de Gijón más te gustaría tener la sensación de estar en un pueblito de pescadores con carácter vibrante, bohemio y a la vez residencial, pudiendo mirar al mar y estar cerquita de él.    El barrio de Cimadevilla donde se encuentra este piso en una te
109822070;Piso;Calle Enrique Martinez;s/n;Centro - San Lorenzo;Gijón;360000;3;106;;4ª;Exterior;Sí;No;Re/max Casa élite - Centro de Negocios Inmobiliarios;https://www.idealista.com/inmueble/109822070/;¿Buscas una vivienda con encanto y potencial para reformar a tu gusto? ¡Tenemos la propiedad perfecta para ti! Esta vivienda consta de 3 dormitorios, salón comedor, cocina, baño y aseo. Se encuentra en un cuarto piso exterior a la calle, dentro de un buen edificio con ascensor y sin barreras arquitectónicas, que ofre
109580102;Piso;Centro - San Lorenzo;s/n;Centro - San Lorenzo;Gijón;350000;3;86;;4ª;Exterior;Sí;No;Re/max Casa élite - Centro de Negocios Inmobiliarios;https://www.idealista.com/inmueble/109580102/;¡Amplio y elegante piso en Venta en el corazón de Gijón! Descubre este elegante piso en una ubicación privilegiada de Gijón, a solo unos pasos de la Plaza San Miguel y la emblemática playa de San Lorenzo. Este hogar ofrece un hall de entrada acogedor que te da la bienvenida. La cocina, completamente reformada, es lumin
109526644;Piso;Calle Doctor Bellmunt;s/n;Centro - San Lorenzo;Gijón;365000;2;81;;1ª;Exterior;Sí;Sí;Agencia Asturias;https://www.idealista.com/inmueble/109526644/;Esta magnífica vivienda seminueva se encuentra ubicada justo en el centro de Gijón, al lado del Paseo de Begoña. Fue construida en el Año 2006 por lo que disfrutará de las ventajas de vivir en un piso de pocos años. Tiene una terraza de uso y disfrute particular de la vivienda de 100 m2, y también dispone de trastero.
108794121;Piso;Calle Carlos Marx;s/n;Laviada;Gijón;229000;2;88;;8ª;Exterior;Sí;No;Inmobiliaria avendaño;https://www.idealista.com/inmueble/108794121/;PISAZO CON VISTAS EN LAVIADA OCASIÓN ÚNICA EN LA ZONA DE LAVIADA! Vivienda de ensueño en el corazón de la ciudad, en muy buen estado, muy luminoso y listo para entrar a vivir. Si buscas un hogar espectacular o una inversión con alta rentabilidad, ¡No dejes escapar esta joya! Este precioso piso de 2 Habitaciones se encuentra en una de las zonas más
109366532;Piso;Avenida de la Constitución;23;Centro - Puerto;Gijón;275000;3;115;;2ª;Exterior;Sí;No;Particular / Desconocido;https://www.idealista.com/inmueble/109366532/;Presentamos coqueta vivienda de mas de 100m2 luminosa lista para entrar a vivir con muchísimas mejoras recién realizadas. Visítela a través de nuestro sistema de escaneo en 3 dimensiones, reportajes fotográficos o videos, será como estar en él¡ Vivienda de mas de 100m2 útiles distribuidos en dos amplísimas habitacion
